materia,grado,periodo,tema
ÉTICA,10°,I,"1.- La Estructura Jurídica.
     1.1.- Norma, Autoridad, Ley y sanción
     1.2 Los Derechos Humanos y los conflictos
     1.3 Mis puntos de vista, valores y principios  
     1.4 Identidad de Género  
1. Normas y convivencia social
Normas, autoridad, ley y sanción
Función de las normas en la vida social
2. Derechos Humanos y conflicto social
Fundamentos de los Derechos Humanos
Derechos humanos y resolución de conflictos
Vulneración de derechos y convivencia
3. Ética personal y toma de decisiones
Valores, principios y normas
Construcción de criterios éticos personales
Influencia de la ética en la convivencia
4. Identidad y diversidad
Identidad personal y respeto por la diferencia
Diversidad social y cultural
Dignidad humana e inclusión"
ÉTICA,10°,II,"1. Desarrollo del juicio moral
     1.1.-El valor de sí mismo  
     1.2.- La identidad, la interculturalidad y la intraculturalidad 
1.Desarrollo del juicio moral
1.1. El valor de sí mismo
Autoestima, dignidad humana y responsabilidad
1.2. Identidad y diversidad cultural
Identidad personal
Interculturalidad e intraculturalidad
1.3. Juicio moral y convivencia
Valores, respeto por la diferencia y toma de decisiones éticas"
ÉTICA,10°,III,"1.- El sentido de la vida.
      1.1.- Análisis de las condiciones integrales
      1.2.- La Disciplina
      1.3   El Proyecto de Vida.

1. El sentido de la vida
1.1. La búsqueda del sentido personal
¿Qué entendemos por sentido de vida?
Metas, propósitos y realización personal
Factores que influyen en la construcción del sentido de vida
1.2. Condiciones para el desarrollo integral
Dimensión personal, familiar y social
Bienestar físico, emocional y espiritual
Autoconocimiento y crecimiento personal
1.3. La disciplina y la construcción de hábitos
Disciplina, responsabilidad y autonomía
Toma de decisiones y manejo del tiempo
Perseverancia y cumplimiento de metas
1.4. El proyecto de vida
Identificación de intereses, capacidades y aspiraciones
Formulación de metas a corto, mediano y largo plazo
Proyecto de vida y compromiso con el entorno"
ÉTICA,11°,I,"1.- Mecanismos constitucionales
     1.1 Derecho de petición y sentencias de la corte constitucional
     1.2 Acción de tutela y la curatela
     1.3 Diálogo, negociación, discusión y debate
     1.4 Mediación y reconciliación, análisis de la J. E. P."
ÉTICA,11°,II,"1.- Construcción de Ambientes
     1.1 Valoración de la diversidad.
     1.2 Concienciación de la realidad
     1.3 Sentido de la vida
1. Construcción de ambientes para la convivencia
1.1. Valoración de la diversidad
Respeto por la diferencia
Inclusión y convivencia
1.2. Concienciación de la realidad
Análisis del entorno social
Responsabilidad y compromiso ciudadano
1.3. Sentido de la vida
Proyecto de vida
Valores y propósito personal
1.4. Transformación del entorno
Liderazgo y participación
Construcción de ambientes de paz"
ÉTICA,11°,III,"1.- Expresión e identificación
    1.1 Derecho a elegir
    1.2 Derecho a Disentir
    1.3 Orientación profesional

1. Expresión e identificación
1.1. Derecho a elegir
Autonomía personal y toma de decisiones
Libertad y responsabilidad en la elección de proyecto de vida
Influencia de factores sociales en las decisiones personales
1.2. Derecho a disentir
Libertad de pensamiento y expresión
Respeto por la diferencia de ideas
Diálogo, argumentación y convivencia democrática
1.3. Orientación profesional
Reconocimiento de intereses, habilidades y capacidades
Elección vocacional y proyecto de vida
Relación entre identidad personal y proyección social"
Filosofía,9°,I,"1. El nacimiento de la filosofía

1.1 Mito y logos

Explicación mítica del mundo
Paso del mito a la razón
Surgimiento del pensamiento filosófico

2. Los primeros filósofos
2.1 Presocráticos y sofistas
Origen de la filosofía en la naturaleza
Problema del Arjé
Sofistas y el relativismo del conocimiento

3. La filosofía clásica
3.1 Sócrates, Platón y Aristóteles
Sócrates: las 4 causas y el pensamiento científico
Platón: mundo de las ideas
Aristóteles: lógica y realidad

4. La organización del saber filosófico
4.1 Las ramas de la filosofía
Ética, metafísica, epistemología y política
La filosofía como forma de conocimiento racional
Relación entre filosofía y conocimiento humano

1. Periodo clásico de la filosofía griega
Primeros filósofos, presocráticos y sofistas
1.2.-Trilogía Clásica (Sócrates, Platón y Aristóteles)     
1.3   Las ramas que conforman la filosofía, ciencias de estructura humana
1.4   Saber filosófico, mitos y logos, razón e irracionalidad"
Filosofía,9°,III,"RENACIMIENTO Y NACIMIENTO DE LA MODERNIDAD
1. Cambio de mentalidad
Del teocentrismo al antropocentrismo
Crisis del pensamiento medieval y surgimiento del ser humano como centro del conocimiento

2. Humanismo renacentista
Giovanni Pico della Mirandola: la dignidad y libertad del ser humano
Nicolás de Cusa: los límites del conocimiento y la unidad del saber

3. Política y sociedad en el Renacimiento
Nicolás Maquiavelo: El príncipe y la teoría del poder político
Tomás Moro: la construcción de las utopías y la crítica social

4. Bases del pensamiento moderno
Razón y experiencia como fundamento del conocimiento
Inicio del pensamiento moderno y transformación de la visión del mundo
Naturalismo y culturalismo.

1.- Teología Natural

Niveles del conocimiento 
Teocentrismo y antropocentrismo
     1.3   Naturalismo y culturalismo
     1.4   Fundamentación de la conciencia Bases de la edad moderna, Criterios de razón y experiencia,"
Filosofía,10°,I,"1. Transición del pensamiento medieval a la modernidad
Renacimiento: 
paso del teocentrismo al antropocentrismo
Surgimiento del problema moderno del conocimiento y del sujeto

2. Francis Bacon: problema del método del conocimiento

Francis Bacon: Método inductivo como base del conocimiento científico
Observación y experiencia frente a los prejuicios del saber

3. René Descartes: problema del fundamento del conocimiento

René Descartes: La duda metódica como camino hacia la certeza
El “yo pienso” como fundamento del conocimiento

4. John Locke: problema del origen del conocimiento

John Locke: La mente como “tabla rasa”
El conocimiento como resultado de la experiencia

5. David Hume: problema de los límites del conocimiento

David Hume: Diferencia entre impresiones e ideas
Crítica a la causalidad y límites del conocimiento humano

1.- La Filosofía Moderna:
      1.1 Renacimiento y los modos de producción, con base en la interpretación de los niveles del conocimiento.     
      1.2 Las corrientes filosóficas de la modernidad.
      1.3 Siglo XVII Racionalismo y Empirismo.
      1.4 Método Científico y el problema del conocimiento"
Filosofía,10°,II,"1. La Ilustración y el Cuestionamiento de la Metafísica
1.1 El pensamiento de Immanuel Kant
Razón, teoría del conocimiento y crítica de la metafísica. 
1.2 El Idealismo Alemán
Principales características y representantes: Fichte, Schelling.  
1.3 El pensamiento hegeliano
La dialéctica y la filosofía de la historia. 
1.4 Críticas al idealismo alemán
Arthur Schopenhauer: voluntad y pesimismo. 
Karl Marx: materialismo histórico y crítica social.


1.- La Ilustración y el Cuestionamiento de La Metafísica.

     1.1 Idealismo Alemán
     1.2 El Pensamiento Hegeliano
     1.3 El pensamiento de Schopenhauer y Karl Marx"
Filosofía,10°,III,"1. Crisis de la modernidad y pensamiento contemporáneo
1.1 Friedrich Nietzsche
Crítica a la moral tradicional 
Nihilismo y transvaloración de los valores 
1.2 Martin Heidegger
El problema del ser 
El ser humano como existencia (Dasein) 
1.3 Jean-Paul Sartre y Albert Camus
Libertad y responsabilidad 
El absurdo de la existencia 
1.4 Escuela de Frankfurt
Crítica a la sociedad industrial 
Cultura de masas e industria cultural 
1.5 Auguste Comte
Positivismo y conocimiento científico 
Ley de los tres estados


1.- El Idealismo Trascendental

     1.1 El pensamiento de Kant
     1.2 El pensamiento de Augusto Comte
     1.3 El Positivismo y capitalismo"
Filosofía,11°,I,"1. Problema de los niveles del conocimiento y la relación entre ciencias

Epistemología: Diferencia entre ciencias naturales y ciencias humanas
Relación entre conocimiento científico y realidad social

2. Sigmund Freud: problema del sujeto y el inconsciente

Sigmund Freud: El inconsciente como estructura del psiquismo
El conflicto entre razón, deseo y comportamiento humano

3. Posturas del sujeto en la construcción del conocimiento (formación democrática)

Filosofía del conocimiento: Postura subjetiva en la interpretación de la realidad
Postura objetiva en la construcción del conocimiento y la convivencia

4. Karl Marx: problema de la sociedad y la realidad histórica

Karl Marx: Materialismo histórico: economía y estructura social
Materialismo dialéctico: cambio histórico y contradicciones sociales

1.- Los Niveles del Conocimiento, Ciencias Experimentales y Ciencias Humanas.
     1.1 Problema Histórico Social y la influencia positiva de los niveles del conocimiento.
     1.2 El Psicoanálisis
     1.3 Posturas del estudiante: subjetiva y objetiva (Proyecto de Formación Democrática)
     1.4 El Materialismo Histórico Y Dialéctico."
Filosofía,11°,II,"LÓGICA Y CONOCIMIENTO GNOSEOLÓGICO
1. Problema de la estructura del pensamiento y el lenguaje lógico

Lógica: Lógica simbólica como sistema formal del pensamiento
El silogismo como estructura del razonamiento válido

2. Problema de la esencia del conocimiento

Gnoseología: La esencia del conocimiento como problema filosófico
Relación entre pensamiento, realidad y verdad

3. Problema del origen del conocimiento

Epistemología: Origen del conocimiento en la razón o la experiencia
Fundamentos del saber humano

4. Problema de las posibilidades del conocimiento

Filosofía del conocimiento: Alcances del conocimiento humano
Límites entre verdad, interpretación y certeza


1.- EL CONOCIMIENTO GNOSEOLÓGICO, y PROPOSICIONAL

     1.1 Lógica simbólica y el silogismo  
     1.1 Consideración de la ESENCIA   
     1.2 Consideración del ORIGEN    
     1.3 Análisis de las POSIBILIDADES"
Filosofía,11°,III,"FILOSOFÍA CONTEMPORÁNEA: EXPERIENCIA, VALOR Y LENGUAJE
1. Problema de la experiencia humana y el sentido de la existencia

Fenomenología: La experiencia vivida como base del conocimiento
La conciencia y la interpretación de la realidad

2. Existencialismo: problema del sentido de la vida

Existencialismo: Libertad, elección y responsabilidad
Sentido y absurdo de la existencia humana

3. Filosofía analítica: problema del lenguaje y el significado

Filosofía analítica: Análisis del lenguaje como herramienta del pensamiento
Claridad lógica y problemas de significado

4. Filosofía latinoamericana: problema de la realidad y la identidad

Filosofía latinoamericana: Identidad cultural y pensamiento propio
Crítica a la dependencia y construcción de pensamiento latinoamericano

1.- Fenomenología y Axiología.

      1.1 Existencialismo 
      1.2 Filosofía Analítica
      1.3 Filosofía Latinoamericana
."
Lenguaje,1°,I,"Comunicación: 
Medios de comunicación y el texto informativo.
Género: 
La descripción y la fábula.
Semántica:
 La familia de las palabras.
Gramática:
Vocales - consonantes y grafema-fonema.
Ortografía:
 La sílaba, las mayúsculas y las minúsculas.
Plan lector: Los secretos del abuelo sapo"
lenguaje,primero,II,"Comunicación: 
Sistemas simbólicos ( símbolos y empaques)
Género:
La narración y sus elementos.
Semántica: 
diminutivos y aumentativos.
Gramática:
Sustantivos y verbos.
Ortografía: 
El punto, las palabras con (s,z,c,y, ll)
Plan lector: Cuentos: Los secretos del abuelo sapo."
lenguaje,primero,III,"Comunicación:
Sistemas simbólicos : Escudos y banderas.
Género: 
El texto instructivo.
Semántica: 
sinónimos y antónimos.
Gramática: 
Los adjetivos y los  pronombres.
Ortografía
combinaciones ortográficas ( ortografía con el uso de la H, c,k, b, v)
Plan lector:
 El cocodrilo amarillo en el pantano verde.  
Ensalada de adivinanzas"
Lenguaje,2°,I,"Comunicación:
-Símbolos y señales.
-Medios de comunicación.
Género:
-Género narrativo: el cuento y la descripción.
-El texto descriptivo.
Semántica:
-El significado de las palabras y el campo semántico.
Gramática:
-El abecedario y formación de palabras.
- La oración.
Ortografía:
-Clasificación de palabras según el número de sílabas.
Plan lector:
La mariquita vanidosa. Autor: María Eugenia Pereyra. Editorial: Loqueleo, Santillana."
lenguaje,2°,II,"Comunicación:
-Elementos de los medios de  comunicación.
Género:
-Género lírico: la estructura del poema.
-El texto expresivo.
Semántica:
-Los sinónimos y antónimos.
Gramática:
-Los sustantivos.
-Pronombres personales.
Ortografía:
-Las combinaciones ortográficas.
Plan lector:
-Amor se escribe con C. Autor: Andrea Serna. Editorial: Norma."
lenguaje,2°,III,"Comunicación:
-otros sistemas simbólicos: aprender a leer las señales de la naturaleza.
Género:
-Género dramático: lectura de un texto teatral y dramatizaciones.
-El texto expresivo.
Semántica:
-Palabras simples y complejas.
Gramática:
-Los adjetivos, los verbos y pronombres.
Ortografía:
-Uso de la b, v, m, n, r"
Lenguaje,3°,I,"Comunicación:
-Funciones y elementos de los medios de  comunicación.
Género:
-Género narrativo: el cuento y sus elementos.
-El texto descriptivo.
Semántica:
-Palabras derivadas (prefijos y sufijos)
Gramática:
-Los sustantivos.
-La oración.
Ortografía:
-Uso de la mayúscula..
Plan lector:
-Versos inquietos. Autor: María Fernanda Mantilla . Editorial: Norma."
lenguaje,3°,II,"Comunicación:
-Jeroglíficos y pictogramas.
Género:
-Género lírico: tipos de rimas.
-El texto informativo.
Semántica:
-Palabras homófonas y homógrafas.
Gramática:
-El artículo.
-Formas no personales del verbo.
Ortografía:
-El punto, la coma y los dos puntos.
Plan lector: 
-El lugar más bonito del  mundo. Autor: Ann Camerón. Editorial: Loqueleo, Santillana."
lenguaje,3°,III,"Comunicación:
-La sinestesia.
Género:
-Género dramático: reconocimiento del guión teatral.
-El texto expositivo.
Semántica:
-Conectores copulativos y disyuntivos.
Gramática:
-Adjetivos calificativos y determinativos.
Ortografía:
-Uso de m antes de p y b.
-Uso de la c, s, z, k o q.
Plan lector:
De noche en el bosque. Autor: Ana María Machado. Editorial: Norma
-El club de los detectives feroces. Autor: Liliana Cinetto. Editorial: Norma."
Lenguaje,4°,I,"Comunicación: 
. El lenguaje de la publicidad.
Género: Narrativo
. Mitos y leyendas
semántica:
Palabras homófonas y homógrafas. 
gramática: 
. El sustantivo
.partes de la oración.  
ortografía: 
. Signos de puntuación. 
Plan lector: Una bicicleta de tres puestos y otros relatos de vacaciones. 
Autor: Gerardo Meneses"
lenguaje,4°,II,"Comunicación: 
La caricatura. 
Género: lírico
Clasificación de los poemas.
.figuras literarias (hipérbole-símil)
semántica:
Hiperónimos e hipónimos.
gramática: 
Los pronombres. 
ortografía: 
.Acento prosódico y ortográfico. 
Plan lector: Sin era y jamás
Autor:  María García Esperón • Enrique Pérez Díaz
Editorial: Enlace"
lenguaje,4°,III,"Comunicación:
El grafiti.
Género:Dramático
.El teatro( características y técnicas)
semántica:  
.Sinonimos y antonimos. 
gramática: 
El verbo y el adverbio. 
ortografía:. 
Clasificación de palabras según su acento. 
Plan lector: Los goles de juancho
Autora: Margarita Londoño
Editorial: Norma"
Lenguaje,5°,I,"Comunicación
El texto informativo: La noticia, el anuncio publicitario, el reportaje y la encuesta (estructura, elementos principales).
El resumen: Identificación de la idea principal e ideas secundarias.
Género literario
Narrativo: El cuento policiaco y de terror (estructura, personajes, ambiente, narrador) y la novela.
Tradición oral: Mito y leyenda.
La biografía y la autobiografía.
Semántica
El adjetivo (comparativos, superlativos y despectivos) y texto descriptivo.
Gramática  
Sílabas tónicas y átonas, diptongos, triptongos e hiatos.
Ortografía
Uso de mayúsculas, el punto y la coma.
Plan lector
El principito - Autor: Antoine de Saint- Exupéry"
Lenguaje,5°,II,"Comunicación
Medios de comunicación: Las redes sociales y el cuidado con el internet.
La historieta y las onomatopeyas.
Género 
Género lírico: El poema y figuras literarias ( Personificación, símil, metáfora sencilla).
Semántica
Uso de preposiciones, conjunciones e interjecciones.
Gramática 
La oración (sujeto y predicado) y clases de oraciones.
Ortografía
Usos de la c, s y z
Plan lector
Ana Frank la voz de la memoria Autora: Elisa Puricelli Guerra"
Lenguaje,5°,III,"Comunicación 
Diversidad lingüística y cultural: Gentilicios, reconocimiento de dialectos, lenguas indígenas en Colombia, modismos, regionalismos, pidgins y lenguas criollas.
Lenguaje audiovisual y comunicación no verbal: Gestos, posturas, expresiones faciales.
Texto argumentativo: Opiniones personales y argumentos básicos. Artículo de opinión y debate.
Género
Género dramático: Obras de teatro, la escena y el monólogo.
Texto expositivo e instructivo.
Semántica
Conectores de causa y efecto.
El mapa conceptual
Gramática
Concordancia (género y número).
Ortografía
La tilde en preguntas y exclamaciones.
Plan lector
Cuentos de Oscar Wilde  Autor: David Chericián"
Lenguaje,6°,I,"Comunicación
Funciones de la Comunicación: Elementos, tipos y funciones del lenguaje.
Géneros Periodísticos: La noticia, la entrevista y el reportaje.
Género
Género Narrativo: Estructura, elementos y tipos.
Tradición oral: El mito y la leyenda colombianos.
Semántica
Organizadores gráficos: Mapa conceptual, mapa mental y cuadro sinóptico.
Gramática
Sustantivo y Adjetivo (clases, concordancia), Verbo (tiempos simples: infinitivo, presente, pasado, futuro).
Ortografía
Usos de la G y la J, el punto y la coma.
Plan lector
País de dragones Autor: Diana Chaviano.
MILTON OCHOA — Integrar dentro de los temas del Periodo 1 (13 semanas):
• COMUNICACIÓN / sem. 1-3 — Dentro de 'Funciones y elementos del lenguaje': practicar identificación de la intencionalidad comunicativa POR PÁRRAFOS O SECCIONES del texto (Pragmático)
• COMUNICACIÓN / sem. 3-4 — Dentro de 'Géneros periodísticos': analizar el TITULAR antes de leer — ¿qué propósito tiene este título? (Pragmático)
• GÉNERO NARRATIVO / sem. 5-7 — Dentro de 'Mito y leyenda colombiana': preguntas de identificación del personaje central y sus rasgos explícitos (Semántico)
• GRAMÁTICA / sem. 8-10 — Dentro de 'Verbo — tiempos simples': ejercicios de corrección de conjugación verbal en párrafos narrativos propios (Sintáctico)
• SEMÁNTICA / sem. 8-10 — Dentro de 'Organizadores gráficos': vocabulario clave — subrayado y glosario contextual en textos no literarios (Semántico CRÍTICO)
• CIERRE / sem. 11-13 — Actividad integradora: clasificar textos por contenido e intención comunicativa incluyendo un texto discontinuo (Sintáctico · Prueba 01"
Lenguaje,6°,II,"Comunicación
Las fuentes de información.
Texto informativo, instructivo y expositivo.
Textos publicitarios y descriptivos.
Género
La novela gráfica y el cómic.
Semántica
Hiperonimia/hiponimia
Gramática
Los artículos, los pronombres y los adverbios.
Ortografía
Uso de la B y la V, punto y coma, los dos puntos y las comillas.
Plan lector
Por favor. ¡no leas este libro! Autor:Jhon Fitzgerald Torres
MILTON OCHOA — Integrar dentro de los temas del Periodo 2 (13 semanas):
• COMUNICACIÓN — Fuentes de información / sem. 1-2: añadir identificación de autores o voces citadas dentro de textos expositivos (Pragmático)
• COMUNICACIÓN — Texto informativo / sem. 2-4: localización espacio-temporal sistemática en textos informativos (¿cuándo? ¿dónde?) como pregunta de comprensión (Semántico)
• COMUNICACIÓN — Texto informativo / sem. 4: pre-escritura de noticia — definir propósito, público y estructura antes de redactar (Pragmático)
• GÉNERO — Novela gráfica y cómic / sem. 5-7: ampliar con análisis de estructura narrativa visual (viñetas, secuencias, diálogos) y ordenamiento cronológico de hechos (Sintáctico + Semántico)
• GRAMÁTICA — Artículos, pronombres, adverbios / sem. 8-10: añadir actividad de planeación narrativa — listar elementos constitutivos (personaje, tiempo, espacio, conflicto, desenlace) ANTES de escribir (Sintáctico)
• ORTOGRAFÍA — B/V y puntuación / sem. 10-12: fusionar uso del punto seguido y punto aparte en producción propia + revisión de registro formal vs. coloquial (Sintáctico + Pragmático)"
Lenguaje,6°,III,"Comunicación
Lenguaje verbal y no verbal
La argumentación: Diferencia entre opinión y argumento. Expresar una posición y dar razones sencillas.
El foro y la opinión crítica
Género
Género lírico: ¿Qué es la poesía?, verso, estrofa, rima, ritmo. Figuras literarias (símil, metáfora, personificación, hipérbole, sinécdoque, sinestesia). Trovas, coplas y refranes.
Género dramático (Teatro): Características, elementos (diálogo, acotaciones), el guion teatral, roles en una obra y dramatización.
Semántica
Homónimos (Homófonas y Homógrafas)
Gramática
La oración gramatical, preposiciones, conjunciones y conectores lógicos. 
Ortografía
Uso de la C, S y Z, la tilde diacrítica, el diptongo, el hiato. El uso de los dos puntos y los puntos suspensivos.
Plan lector
El terror de sexto B Autor: Yolanda Reyes
La Rebelion en la Granja Autor: George Orwell

MILTON OCHOA — Integrar dentro de los temas del Periodo 3 (14 semanas):
• COMUNICACIÓN — Lenguaje verbal/no verbal / sem. 1-3: ampliar con historieta y caricatura — espacio-tiempo, tema general e intencionalidad por viñetas (Semántico + Pragmático)
• GÉNERO LÍRICO / sem. 4-7: dentro del análisis de figuras literarias, añadir análisis emocional — ¿qué emoción transmite esta expresión? Y preguntas de causalidad — ¿por qué ocurrió esto? (Pragmático + Semántico)
• GÉNERO DRAMÁTICO — Teatro / sem. 7-9: dentro de estructura teatral (acto, escena), añadir comprensión de partes claves con preguntas por escena + reconocimiento del tipo de texto por estructura visual (párrafo, verso, acotación, viñeta) (Semántico + Sintáctico)
• SEMÁNTICA — Homónimos / sem. 9-10: añadir continuación lógica de párrafos — el estudiante elige la idea que mejor desarrolla un párrafo incompleto (Semántico)
• GRAMÁTICA — Oración y conectores / sem. 10-12: fusionar revisión del título — ¿es pertinente y coherente con el contenido? (Semántico)
• ESCRITURA / sem. 12-14: planeación narrativa obligatoria — secuencia lógica inicio-nudo-desenlace como paso previo a la escritura (Sintáctico)"
Lenguaje,7°,I,"Comunicación
El Lenguaje y la Comunicación: verbal y no verbal (proxemia), niveles de la lengua, variedades lingüísticas, fenómenos del lenguaje.
El texto informativo y los medios de comunicación: Elementos de la comunicación, Tipos de medios (prensa, radio, TV, internet, redes sociales). Comentario periodístico.
Género
Género narrativo: Mitos y leyendas griegos y romanos y la narración de ciencia ficción, texto policiaco y terror, y elementos paratextuales.
El Texto Expositivo: Estrategias de desarrollo, lenguaje formal y objetivo. Producción de resúmenes y reseñas.
Semántica
Campo Semántico: Tipos y Aplicaciones
Gramática
Verbos (regulares/irregulares, perífrasis verbales).
Oración Simple (Sujeto, Predicado, Complementos: OD, OI, CC).
Ortografía
Reglas generales de acentuación (diptongo, hiato, agudas, graves, esdrújulas), tilde diacrítica (repaso y profundización).
Plan lector
Maus Autor: Art Spiegelman"
Lenguaje,7°,II,"Comunicación
El Proceso de Escritura y Cohesión: Mecanismos de coherencia y cohesión (conectores lógicos, modos verbales, elipsis).
Género
Género lírico: Análisis de forma (métrica, rima, ritmo) y fondo (temas, sentimientos). Figuras literarias avanzadas (antítesis, paradoja, sinestesia).
Organizadores gráficos: mapa mental, cuadro comparativo, tipo araña y telaraña.
Semántica
El Lenguaje Figurado y Simbólico: Interpretación de símbolos y alegorías.
Gramática
Oración Compuesta (coordinación: copulativas, disyuntivas, adversativas). Pronombres (clasificación completa y uso). 
Ortografía
Uso de G/J (reglas complejas), H, Y y LL. 
Plan lector
Aventuras de un niño de la calle Autor: Julia Mercedes Castilla
MILTON OCHOA — Integrar dentro de los temas del Periodo 2 (13 semanas):
• GÉNERO LÍRICO — Análisis de forma y fondo / sem. 1-4: añadir (a) intertextualidad entre dos textos del mismo género (temas, recursos, época) ; (b) intencionalidad por estrofa o sección ; (c) deducir postura emocional del autor desde el texto.(Sintáctico + Pragmático)
• SEMÁNTICA — Lenguaje figurado / sem. 4-6: añadir campo semántico aplicado — agrupar palabras y expresiones por temática dentro de textos leídos (Semántico)
• SEMÁNTICA / sem. 4-6:CRÍTICO — clasificación de tipología textual por CONTENIDO e intención comunicativa (narrativo, descriptivo, argumentativo, expositivo), NO solo por estructura formal. Afecta a toda la institución (Sintáctico)
• COMUNICACIÓN — Coherencia y cohesión / sem. 6-8: añadir pre-escritura de anuncio publicitario (producto, público, propósito) + redacción de eslogan pertinente al receptor (Pragmático)
• ORTOGRAFÍA — G/J, H, Y/LL / sem. 9-11: fusionar (a) identificación y corrección de errores de coma (enumeración, vocativo, subordinadas); (b) pares mínimos con tilde — la tilde cambia el significado (Sintáctico)"
Lenguaje,7°,III,"Comunicación
Investigación y Evaluación de Fuentes: Pasos de una investigación básica, criterios de fiabilidad y pertinencia de las fuentes. Citación y referencias bibliográficas básicas.
Comunicación Oral Estratégica: Técnicas de debate y discusión, preparación y presentación de ponencias (uso de recursos audiovisuales), escucha activa y crítica.
Género
Género dramático: La obra y el guion teatral, estructura (acto, escena, acotaciones, diálogo).
El Texto Argumentativo: Estructura (tesis, argumentos, contraargumentos, conclusión), tipos de argumentos, falacias básicas. Análisis y producción de textos de opinión.
Análisis y opinión crítica de videojuegos.
Semántica
Palabras de Escritura Dudosa y Homófonas/Parónimas.
Gramática
Oración compuesta subordinada (introducción a sustantivas, adjetivas, adverbiales) y preposiciones.
Ortografía 
Uso de R/RR y la V y B. Signos de admiración, interrogación, guión, comillas y paréntesis Puntuación (repaso y aplicación avanzada).
Plan lector
Querido hijo: Estas despedido Autor Jordi Sierra I Fabra.
El diablo de la botella Autor: Robert Louis Stevenson.
MILTON OCHOA — Integrar dentro de los temas del Periodo 3 (14 semanas):
• GÉNERO DRAMÁTICO — Obra y guion teatral / sem. 3-6: dentro de análisis de actos y escenas, añadir (a) comprensión de partes claves del relato con preguntas por escena; (b) caracterización emocional de personajes — ¿qué siente y cómo lo revela el texto? (Semántico + Pragmático)
• TEXTO ARGUMENTATIVO / sem. 6-9: fusionar (a) esquemas visuales que asocian estructura con tipo de texto (árbol argumentativo, pirámide narrativa); (b) selección y justificación del tema para texto propio ANTES de escribir (Sintáctico + Semántico)
• ANÁLISIS VIDEOJUEGOS / LENGUAJE NO VERBAL / sem. 9-11: URGENTE — ampliar con historieta y caricatura: inferir rasgos físicos y psicológicos de personajes desde imágenes y diálogos + identificar problemática social aludida (Semántico)
• SEMÁNTICA — Palabras dudosas/homófonas / sem. 10-12: añadir selección léxica — el estudiante elige entre opciones la palabra que mejor completa el sentido y tono del texto (Semántico)
• ESCRITURA — Producción / sem. 12-14: planeación de leyenda propia — listar elementos constitutivos (espacio, personajes, hechos sobrenaturales, moraleja) como paso previo obligatorio a la escritura (Sintáctico)"
Lenguaje,8°,I,"1. Comunicación
La fotografía
La escritura y las problemáticas sociales
 
2. Género
Literatura de la Conquista y la Colonia
La crónica periodística
Elementos de la narración (el narrador)
 
3. Semántica
Cohesión y coherencia
 
4. Gramática
Normas APA
 
5. Ortografía
Los signos de puntuación
La acentuación

6. Plan lector
“El gato negro y otros cuentos” Edgar Allan Poe
El fantasma de Canterville
Oscar Wilde
Editorial: Panamericana"
Lenguaje,8°,II,"1. Comunicación
Elementos de la comunicación y funciones del lenguaje
2. Tipología textual
Silueta textual (tipología textual)
El resumen (las macro reglas)
El informe
El artículo científico
 
3. Semántica
Cohesión y coherencia
 
4. Gramática
Los conectores lógicos
 
5. Literatura
El Romanticismo
El Modernismo y el Posmodernismo
6. Plan lector
“Un capitán de quince años” Julio Verne.
“La duenda” José Evelio Rosero"
Lenguaje,8°,III,"1. Comunicación
El reportaje
 
2. Tipología textual
El reportaje
El artículo de opinión
El elogio y la diatriba
 
3. Semántica
Análisis crítico de textos
Argumento y argumentación
Los dialectos y los extranjerismos
 
4. Gramática
Clases de oraciones
 
5. Literatura
Las figuras literarias
La poesía, música y literatura
La literatura contemporánea
6. Plan lector: 
“Doce cuentos peregrinos” Gabriel García Márquez"
Lenguaje,9°,I,"1. Comunicación
La exposición oral y los elementos paralingüísticos
 
2. Producción textual y gramática
Fortalecimiento de producción escrita
 
3. Semántica
Fortalecimiento de lectura crítica
Niveles de lectura inferencial y crítico
Nivel de lectura (crítico)
 
 
4. Ortografía
La acentuación
La ortografía y los signos de puntuación
 
5. Literatura
Literatura fantástica (lo maravilloso y lo extraño)
El Neoclasicismo y la Ilustración
6. Plan lector:
“Cóndores no se entierran todos los días” Gustavo Álvarez Gardeazábal"
Lenguaje,9°,II,"1. Comunicación
La intención comunicativa (El lenguaje y lo simbólico)
Espacios de opinión en video
El debate
2. Producción textual
Fortalecimiento de escritura: texto argumentativo
Tipos de argumentos
Coherencia, cohesión y pertinencia textual
Normas APA
3. Semántica
Coherencia, cohesión y pertinencia textual
4. Literatura
La tradición oral latinoamericana: mitos y leyendas
5. Plan lector:
“La rebelión de las ratas” Fernando Soto Aparicio"
Lenguaje,9°,III,"1. Comunicación
Análisis del discurso en los medios de comunicación
2. Semántica
Componentes del lenguaje
Fortalecimiento de lectura crítica
Pensamiento crítico (fortalecimiento de lectura)
Análisis del discurso en los medios de comunicación
Comentario y opinión
3. Producción textual
Texto argumentativo (fortalecimiento de escritura)
El comentario y la opinión (fortalecimiento de escritura)
El parafraseo
 
4. Literatura
Literatura latinoamericana
5.  Plan lector:
A elección de cada estudiante"
Lenguaje,10°,I,"Comunicación
Niveles de análisis (micro, macro y superestructura). Fortalecimiento de la lectura.
Género
Literatura medieval.
La biografía y la autobiografía.
Semántica 
Conectores 
Gramática 
Texto argumentativo.
Ortografía 
Normas APA.
Plan lector 
“Lunáticos, místicos y psicóticos” de Mario Mendoza. Editorial Planeta."
